id,comment_count,favorite_count,score
12899860,1,,0
12906922,1,,0
13250761,1,,0
12838786,1,,1
12854581,1,,1
12924254,1,,1
13063881,1,,1
13222578,1,,1
13248608,1,,1
13349257,1,,1
13354141,1,,1
13074044,1,,2
13110014,1,,2
13215060,1,,2
13353507,1,,2
13234948,1,,3
13261842,1,,3
13300436,1,,3
13183860,1,,5
13249678,1,,6
13128318,1,,9
13016642,1,,13
12769601,1,,-1
13067653,2,,0
12815746,2,,1
12944171,2,,1
13268838,2,,1
13276748,2,,1
13314943,2,,1
12855329,2,,2
12916241,2,,2
13330834,2,,2
12793909,2,,3
12815280,2,,4
13001743,2,,4
13132346,2,,4
13355521,2,,4
13319467,2,,5
13060092,2,,8
13339686,2,,9
12735657,2,,10
13020813,2,,10
12896148,2,,11
13088453,2,,12
12993930,2,,15
13349151,2,,15
13341287,2,,23
13188551,2,,53
12758293,2,,-1
12912073,3,,0
13042374,3,,0
12826814,3,,1
12843690,3,,2
12917407,3,,2
13184793,3,,2
12752443,3,,4
12880485,3,,4
12958516,3,,4
13121740,3,,4
12927009,3,,6
13361319,3,,6
12779317,3,,9
12825911,3,,14
13265372,3,,14
13263580,3,,16
13300850,3,,23
12816899,3,,50
13216443,3,,59
12935615,3,,63
12924681,3,,70
12897491,3,,118
13054633,3,,120
13030529,4,,1
12806006,4,,2
13236838,4,,3
12830295,4,,4
13108067,4,,4
13026081,4,,11
12964418,4,,13
13250569,4,,19
12729820,4,,28
12863860,4,,56
12945064,4,,80
13314400,5,,1
13334109,5,,1
13315870,5,,2
12803996,5,,6
12948137,5,,6
12829806,5,,8
13340782,5,,12
13215520,5,,21
13235265,5,,24
13350989,5,,31
13030641,5,,46
13093031,5,,47
12860030,5,,157
13151808,5,,414
12844247,6,,0
13261292,6,,3
12991519,6,,5
12961502,6,,9
13274381,6,,11
13192501,6,,148
13081779,6,,498
13098219,7,,1
12880810,7,,2
13191557,7,,2
13184096,7,,4
13358208,7,,15
13258538,7,,45
13008766,7,,74
13194398,7,,127
13053267,7,,218
13148012,7,,232
13211784,7,,-5
12735102,8,,44
12930137,8,,569
12922626,8,,173
12730148,9,,4
12849972,9,,136
13057972,10,,10
13327111,10,,56
13351665,10,,59
13207939,10,,2163
13006893,11,,280
12856122,12,,1
13352580,12,,151
13322059,13,,51
12758229,14,,185
12998638,14,,198
12991955,15,,517
12739235,15,,273
13019471,15,,215
13186076,16,,27
12821612,16,,28
13015756,16,,149
12767200,16,,187
12833405,17,,141
13143059,18,,35
13041475,20,,209
13190030,21,,122
1424669,1,,0
1569057,1,,3
1769353,1,,3
1702766,1,,4
1565235,1,,6
1521314,1,,7
1600929,1,,8
1425497,1,,15
1848050,1,,16
1296250,1,,149
1275211,2,,0
1448215,2,,1
1667467,2,,2
1854104,2,,2
1496212,2,,4
1514510,2,,4
1771571,2,,4
1303898,2,,5
1630577,2,,5
1579309,2,,6
1814153,2,,8
1463012,2,,9
1402464,2,,10
1566272,2,,10
1770511,2,,11
1547401,2,,23
1565256,2,,26
1412447,2,,63
1446033,2,,111
1340813,2,,197
1435147,3,,8
1821951,3,,11
1435079,3,,12
1647131,3,,14
1818217,3,,16
1685243,3,,23
1461430,3,,33
1280536,3,,51
1442271,3,,60
1323142,3,,62
1281051,3,,95
1452182,3,,100
1373879,3,,147
1716202,3,,-1
1371085,4,,2
